N1_ID_padre,N1_Descripcion,N2_ID_padre,N2_Descripcion,N3_ID_padre,N3_Descripcion,PFM_V5,PFM_V6,BFM
,,57,"Uniforme, material de trabajo",,,Compras_Moda,Compras_Moda y complementos,Compras/Gastos_Material y ropa de trabajo
,,58,Otros servicio doméstico,,,Gastos hogar_Otros,Gastos hogar_Otros,Local_Otros
,,68,Cotización a la SS,,,Impuestos y tasas_Cuotas,Impuestos y tasas_Cuotas,Impuestos Y Tasas_Seguridad Social
,,54,Retribución neta,,,Nóminas_Vacío,Nóminas_Vacío,Recursos Humanos_Pago De Nóminas
,,61,Pagas extraordinarias,,,Nóminas_Vacío,Nóminas_Vacío,Recursos Humanos_Pago De Nóminas
,,63,Finiquito,,,Nóminas_Vacío,Nóminas_Vacío,Recursos Humanos_Indemnizaciones
,,66,Seguros medicos,,,Seguros_Seguro salud y dental,Seguros_Seguro salud y dental,Seguros_Seguros De Salud
,,55,Compensaciones dinerarias,,,,,Recursos Humanos_Indemnizaciones
,,65,Bonus e incentivos,,,,,Recursos Humanos_Otros
,,69,Residencia asistencial,,,,,
4,Alimentacion,70,Supermercados y comestibles,,,Compras_Supermercados,Compras_Supermercados y grandes superficies,Compras/Gastos_Otros
,,502,Restauración,,,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,75,Otros,,,Otros_Otros,,
5,Vehiculos,86,Adquisición,250,Gestoría e impuestos,Gastos empresa y profesionales_Gestoría,"Gastos empresa y profesionales_Gestorías, consultorías y asesorías",Gastos Profesionales_Gestoría Y Asesoria
,,,,251,Otros,Automóvil y transporte_Otros,,Automovil Y Transporte_Otros
,,,,247,Valor de compraventa,Automóvil y transporte_Compra y alquiler,Automóvil y transporte_Compra y alquiler,Automovil Y Transporte_Compra Y Alquiler
,,89,Alquiler,261,Fianza,Automóvil y transporte_Compra y alquiler,Automóvil y transporte_Compra y alquiler,Automovil Y Transporte_Compra Y Alquiler
,,,,260,Cuota,Automóvil y transporte_Compra y alquiler,Automóvil y transporte_Compra y alquiler,Automovil Y Transporte_Compra Y Alquiler
,,,,262,Otros,Automóvil y transporte_Compra y alquiler,Automóvil y transporte_Compra y alquiler,Automovil Y Transporte_Compra Y Alquiler
,,77,Combustible,,,Automóvil y transporte_Gasolineras,Automóvil y transporte_Gasolineras,Automovil Y Transporte_Gasolineras
,,80,Reparaciones y mantenimientos,242,Reparaciones,Automóvil y transporte_Mantenimiento,Automóvil y transporte_Mantenimiento,Automovil Y Transporte_Mantenimiento
,,,,240,Revisiones oficiales,Automóvil y transporte_Mantenimiento,Automóvil y transporte_Mantenimiento,Automovil Y Transporte_Mantenimiento
,,,,241,Otras revisiones,Automóvil y transporte_Mantenimiento,Automóvil y transporte_Mantenimiento,Automovil Y Transporte_Mantenimiento
,,85,Lavado,,,Automóvil y transporte_Mantenimiento,Automóvil y transporte_Mantenimiento,Automovil Y Transporte_Mantenimiento
,,82,Accesorios,,,Automóvil y transporte_Mantenimiento,Automóvil y transporte_Mantenimiento,Automovil Y Transporte_Mantenimiento
,,573,Otros vehículos,,,Automóvil y transporte_Otros,,Automovil Y Transporte_Otros
,,84,Parking,244,Alquiler plaza de garaje,Alquileres_Vacío,Vivienda_Alquileres,Alquileres_Alquileres Inmobiliarios
,,,,245,Parking,Automóvil y transporte_Parking,Automóvil y transporte_Parking,Automovil Y Transporte_Parking
,,,,246,Otros,Automóvil y transporte_Parking,Automóvil y transporte_Parking,Automovil Y Transporte_Parking
,,83,Peajes,,,Automóvil y transporte_Peajes,Automóvil y transporte_Peajes,Automovil Y Transporte_Peajes
,,76,Cuota préstamo vehículo,,,Bancos_Préstamos,Bancos_Préstamos,Bancos e Inversiones_Préstamos
,,87,Leasing,254,Gestoria,Gastos empresa y profesionales_Gestoría,"Gastos empresa y profesionales_Gestorías, consultorías y asesorías",Gastos Profesionales_Gestoría Y Asesoria
,,,,252,Cuota,Bancos_Renting,Bancos_Renting,Automovil Y Transporte_Renting Y Leasing
,,,,255,Otros,Bancos_Renting,Bancos_Renting,Automovil Y Transporte_Renting Y Leasing
,,,,253,Valor residual,Bancos_Renting,Bancos_Renting,Automovil Y Transporte_Renting Y Leasing
,,88,Renting,258,Gestoria,Gastos empresa y profesionales_Gestoría,"Gastos empresa y profesionales_Gestorías, consultorías y asesorías",Gastos Profesionales_Gestoría Y Asesoria
,,,,256,Cuota,Bancos_Renting,Bancos_Renting,Automovil Y Transporte_Renting Y Leasing
