N1_ID_padre,N1_Descripcion,N2_ID_padre,N2_Descripcion,N3_ID_padre,N3_Descripcion,PFM_V5,PFM_V6,BFM
,,,,537,Agua,Gastos hogar_Factura agua,Gastos hogar_Factura agua,Suministros /Consumos_Factura Agua
,,,,540,Energía,Gastos hogar_Factura luz,Gastos hogar_Factura electricidad,Suministros /Consumos_Factura Luz
,,,,524,Comunicaciones,Gastos hogar_Factura teléfono,Gastos hogar_Telefonía e internet,Suministros /Consumos_Factura Teléfono
,,,,536,Limpieza y mantenimiento,Gastos hogar_Mantenimiento y limpieza,Gastos hogar_Mantenimiento y limpieza,Local_Mantenimiento
,,,,575,Obras y reformas,Gastos hogar_Mantenimiento y limpieza,Gastos hogar_Mantenimiento y limpieza,Local_Mantenimiento
,,,,570,Otros suministros,Gastos hogar_Otros,Gastos hogar_Otros,Local_Otros
,,,,538,Alarma y seguridad,Gastos hogar_Seguridad,Gastos hogar_Seguridad,Suministros /Consumos_Seguridad
,,522,Impuestos,578,IRPF,Impuestos y tasas_Impuestos,Impuestos y tasas_Impuestos,Impuestos Y Tasas_Impuesto Irpf
,,,,584,Impuesto de sociedades,Impuestos y tasas_Impuestos,Impuestos y tasas_Impuestos,Impuestos Y Tasas_Impuesto Sociedades
,,,,579,IVA,Impuestos y tasas_Impuestos,Impuestos y tasas_Impuestos,Impuestos Y Tasas_Impuesto Iva
,,,,580,Otros impuestos profesionales,Impuestos y tasas_Impuestos,Impuestos y tasas_Impuestos,Impuestos Y Tasas_Otros
,,556,Gastos de personal,544,Taxi y transporte público,Automóvil y transporte_Transporte privado,Automóvil y transporte_Transporte privado,"Gastos de Representación Y 
de Viaje_Transporte Privado"
,,,,470,Cotización Seguridad Social,Impuestos y tasas_Cuotas,Impuestos y tasas_Cuotas,Impuestos Y Tasas_Seguridad Social
,,,,559,Indemnizaciones,Nóminas_Vacío,Gastos hogar_Otros,Recursos Humanos_Indemnizaciones
,,,,513,Pago salarios,Nóminas_Vacío,Gastos hogar_Otros,Recursos Humanos_Pago De Nóminas
,,,,501,Comidas,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,,,514,Viajes,Ocio_Viajes,Ocio_Viajes,"Gastos de Representación Y 
de Viaje_Otros"
,,,,558,Formación,Salud deporte y educación_Colegio,Educación_Colegios y guarderías,"Gastos de Representación Y 
de Viaje_Formación"
,,,,557,Bonus,,,
,,534,Seguros profesionales,,,Seguros_Otros,Seguros_Otros,Seguros_Otros
,,563,Aprovisionamientos,569,Logística,Gastos empresa y profesionales_Paquetería,Gastos empresa y profesionales_Paquetería y mensajería,Automovil Y Transporte_Logística
,,,,564,Otros aprovisionamientos del negocio,Gastos empresa y profesionales_Otros,Gastos empresa y profesionales_Otros,
,,,,566,Materias primas,,,Compras/Gastos_Materias Prima
,,,,523,Mercaderías,,,Compras/Gastos_Materias Prima
,,,,565,Trabajos realizados por otras empresas,,,Gastos Profesionales_Otros
,,,,555,Maquinaria productiva,,,Compras/Gastos_Maquinaria Y Herramientas
474,Vestuario,109,Ropa y complementos,,,Compras_Moda,Compras_Moda y complementos,"Gastos de Representación Y 
de Viaje_Textil"
,,72,"Tintorería, pequeños arreglos",,,Gastos hogar_Mantenimiento y limpieza,Gastos hogar_Mantenimiento y limpieza,Compras/Gastos_Otros
507,Comisiones e intereses,508,Comisiones,,,Bancos_Comisiones,Bancos_Comisiones,Bancos e Inversiones_Comisiones
,,583,Intereses,,,Bancos_Intereses,Bancos_Intereses,Bancos e Inversiones_Intereses
515,Efectivo,112,Dinero de bolsillo,,,Bancos_Otros,Bancos_Otros,Bancos e Inversiones_Otros
,,461,Movimiento de efectivo,,,Bancos_Traspasos,Bancos_Traspasos,Bancos e Inversiones_Traspasos
